rice_id;chiave;tid;timestamp_TO_DELETE;valore;timestamp
283840;osType;117444;NULL;WINDOWS;"2026-01-20 08:14:21"
283840;osVersion;117444;NULL;10.0.26200.7623;"2026-01-20 08:14:21"
283848;osType;117446;NULL;WINDOWS;"2026-01-21 06:54:43"
283848;osVersion;117446;NULL;10.0.26200.7623;"2026-01-21 06:54:43"
283852;osType;117479;NULL;WINDOWS;"2026-01-21 06:29:24"
283852;osVersion;117479;NULL;10.0.19045.6466;"2026-01-21 06:29:24"
283854;osType;81772;NULL;WINDOWS;"2026-01-19 09:30:04"
283854;osVersion;81772;NULL;10.0.19045.6466;"2026-01-19 09:30:04"
283855;osType;117459;NULL;WINDOWS;"2026-01-21 06:55:09"
283855;osVersion;117459;NULL;10.0.26100.7623;"2026-01-21 06:55:09"
283861;osType;117482;NULL;WINDOWS;"2026-01-21 09:12:20"
283861;osVersion;117482;NULL;10.0.19045.6466;"2026-01-21 09:12:20"
283869;osType;117483;NULL;WINDOWS;"2026-01-21 09:02:56"
283869;osVersion;117483;NULL;10.0.19045.6809;"2026-01-21 09:02:56"
283870;osType;117472;NULL;WINDOWS;"2026-01-20 10:12:11"
283870;osVersion;117472;NULL;10.0.26200.7623;"2026-01-20 10:12:11"
283872;osType;81743;NULL;WINDOWS;"2026-01-21 09:04:49"
283872;osVersion;81743;NULL;10.0.22000.2538;"2026-01-21 09:04:49"
283876;osType;117535;NULL;WINDOWS;"2026-01-10 17:57:56"
283876;osVersion;117535;NULL;10.0.19045.6466;"2026-01-10 17:57:56"
283880;osType;76031;NULL;WINDOWS;"2026-01-21 09:13:09"
283880;osVersion;76031;NULL;10.0.19045.6466;"2026-01-21 09:13:09"
283883;osType;117449;NULL;WINDOWS;"2026-01-21 08:41:21"
283883;osVersion;117449;NULL;10.0.19045.6809;"2026-01-21 08:41:21"
283886;osType;117445;NULL;WINDOWS;"2026-01-21 07:34:11"
283886;osVersion;117445;NULL;10.0.26200.7623;"2026-01-21 07:34:11"
283901;osType;117447;NULL;WINDOWS;"2026-01-21 08:29:14"
283901;osVersion;117447;NULL;10.0.26100.7623;"2026-01-21 08:29:14"
283902;osType;117536;NULL;WINDOWS;"2026-01-19 09:11:48"
283902;osVersion;117536;NULL;10.0.26200.7623;"2026-01-19 09:11:48"
283909;osType;117477;NULL;WINDOWS;"2026-01-20 08:36:40"
283909;osVersion;117477;NULL;10.0.26200.7623;"2026-01-20 08:36:40"
283911;osType;116261;NULL;WINDOWS;"2026-01-20 12:49:45"
283911;osVersion;116261;NULL;10.0.26200.7623;"2026-01-20 12:49:45"
283913;osType;117469;NULL;WINDOWS;"2026-01-21 08:50:08"
283913;osVersion;117469;NULL;10.0.19045.6466;"2026-01-21 08:50:08"
283917;osType;117390;NULL;WINDOWS;"2025-12-24 09:33:40"
283917;osVersion;117390;NULL;10.0.26200.7462;"2025-12-24 09:33:40"
283918;osType;117392;NULL;WINDOWS;"2026-01-21 06:40:54"
283918;osVersion;117392;NULL;10.0.26200.7462;"2026-01-21 06:40:54"
283919;osType;117430;NULL;WINDOWS;"2026-01-17 15:56:45"
283919;osVersion;117430;NULL;10.0.26100.7623;"2026-01-17 15:56:45"
283923;osType;117496;NULL;WINDOWS;"2026-01-21 08:44:37"
283923;osVersion;117496;NULL;10.0.19045.6466;"2026-01-21 08:44:37"
283931;osType;117450;NULL;WINDOWS;"2026-01-20 08:52:15"
283931;osVersion;117450;NULL;10.0.19045.6466;"2026-01-20 08:52:15"
283934;osType;68509;NULL;WINDOWS;"2026-01-20 14:59:46"
283934;osVersion;68509;NULL;10.0.26200.6584;"2026-01-20 14:59:46"
283938;osType;117454;NULL;WINDOWS;"2026-01-21 07:06:36"
283938;osVersion;117454;NULL;10.0.26200.7623;"2026-01-21 07:06:36"
283941;osType;117832;NULL;WINDOWS;"2026-01-21 05:59:38"
283941;osVersion;117832;NULL;10.0.19045.6809;"2026-01-21 05:59:38"
283944;osType;117432;NULL;WINDOWS;"2026-01-21 08:17:14"
283944;osVersion;117432;NULL;10.0.26200.7623;"2026-01-21 08:17:14"
283945;osType;111967;NULL;WINDOWS;"2026-01-21 05:20:29"
283945;osVersion;111967;NULL;10.0.26200.7623;"2026-01-21 05:20:29"
283951;osType;66348;NULL;WINDOWS;"2026-01-20 13:19:41"
283951;osVersion;66348;NULL;10.0.19045.6466;"2026-01-20 13:19:41"
283952;osType;117524;NULL;WINDOWS;"2026-01-21 07:38:23"
283952;osVersion;117524;NULL;10.0.19045.6466;"2026-01-21 07:38:23"
283958;osType;117442;NULL;WINDOWS;"2026-01-20 09:12:40"
283958;osVersion;117442;NULL;10.0.19045.6691;"2026-01-20 09:12:40"
283959;osType;117488;NULL;WINDOWS;"2026-01-15 19:59:08"
283959;osVersion;117488;NULL;10.0.26100.7462;"2026-01-15 19:59:08"
283968;osType;117474;NULL;WINDOWS;"2026-01-21 06:11:36"
283968;osVersion;117474;NULL;10.0.26100.7623;"2026-01-21 06:11:36"
283969;osType;117451;NULL;WINDOWS;"2026-01-21 06:45:08"
283969;osVersion;117451;NULL;10.0.26100.7623;"2026-01-21 06:45:08"
283970;osType;117489;NULL;WINDOWS;"2026-01-21 10:06:24"
283970;osVersion;117489;NULL;10.0.26200.7623;"2026-01-21 10:06:24"
283974;osType;118263;NULL;WINDOWS;"2026-01-21 06:16:39"
283974;osVersion;118263;NULL;10.0.19045.6809;"2026-01-21 06:16:39"
283981;osType;116318;NULL;WINDOWS;"2026-01-21 09:06:49"
283981;osVersion;116318;NULL;10.0.19045.6466;"2026-01-21 09:06:49"
283982;osType;117429;NULL;WINDOWS;"2026-01-19 16:52:57"
283982;osVersion;117429;NULL;10.0.19045.6466;"2026-01-19 16:52:57"
283983;osType;117419;NULL;WINDOWS;"2026-01-20 10:50:56"
283983;osVersion;117419;NULL;10.0.26200.7623;"2026-01-20 10:50:56"
283985;osType;96405;NULL;WINDOWS;"2026-01-19 10:05:58"
283985;osVersion;96405;NULL;10.0.26200.7462;"2026-01-19 10:05:58"
283988;osType;117418;NULL;WINDOWS;"2026-01-21 09:12:56"
283988;osVersion;117418;NULL;10.0.19045.6466;"2026-01-21 09:12:56"
283989;osType;66069;NULL;WINDOWS;"2026-01-20 16:10:46"
283989;osVersion;66069;NULL;10.0.26200.7623;"2026-01-20 16:10:46"
283993;osType;117741;NULL;WINDOWS;"2026-01-21 06:23:14"
283993;osVersion;117741;NULL;10.0.26100.7623;"2026-01-21 06:23:14"
284001;osType;118205;NULL;WINDOWS;"2026-01-13 07:57:56"
284001;osVersion;118205;NULL;10.0.22631.6199;"2026-01-13 07:57:56"
284009;osType;117743;NULL;WINDOWS;"2026-01-21 07:10:54"
284009;osVersion;117743;NULL;10.0.26200.7623;"2026-01-21 07:10:54"
284016;osType;118365;NULL;WINDOWS;"2026-01-21 09:16:46"
284016;osVersion;118365;NULL;10.0.19045.6466;"2026-01-21 09:16:46"
284017;osType;82047;NULL;WINDOWS;"2026-01-21 09:03:02"
284017;osVersion;82047;NULL;10.0.26200.7623;"2026-01-21 09:03:02"
284019;osType;117744;NULL;WINDOWS;"2026-01-20 11:40:51"
284019;osVersion;117744;NULL;10.0.26200.7623;"2026-01-20 11:40:51"
284021;osType;77575;NULL;WINDOWS;"2026-01-08 11:35:01"
284021;osVersion;77575;NULL;10.0.26200.7462;"2026-01-08 11:35:01"
284024;osType;117745;NULL;WINDOWS;"2025-12-27 09:53:10"
284024;osVersion;117745;NULL;10.0.22000.2538;"2025-12-27 09:53:10"
